date,miles,notes,time
04-22-2019,4,Yaquina,00:41:30
04-23-2019,2,NA,00:20:00
04-24-2019,4,NA,00:40:00
04-26-2019,5,Newport,00:51:30
04-26-2019,5,Newport,00:51:30
05-01-2019,5,error,00:59:31
05-01-2019,5,error,00:59:31
05-01-2019,5,error,00:59:31
05-01-2019,5,error,00:59:31
05-01-2019,5,error,00:59:31
05-01-2019,5,error,00:59:31
06-01-2019,50,error,00:59:31
06-01-2019,50,error,00:59:31
06-01-2019,50,error,00:59:31
